dataset,model,size_10,size_15
ionosphere,mlp,0.8536585365853658,0.8735632183908045
ionosphere,mlp,0.9,0.925
ionosphere,mlp,0.8888888888888888,0.8571428571428571
ionosphere,mlp,0.8674698795180723,0.9382716049382717
ionosphere,mlp,0.891566265060241,0.9156626506024096
ionosphere,mlp,0.9500000000000001,0.9268292682926829
ionosphere,mlp,0.9268292682926829,0.925
ionosphere,mlp,0.9047619047619047,0.9024390243902439
ionosphere,mlp,0.9620253164556963,0.8780487804878049
ionosphere,mlp,0.8500000000000001,0.8809523809523809
ionosphere,mlp,0.860759493670886,0.8674698795180723
ionosphere,knn,0.8636363636363636,0.8705882352941177
ionosphere,knn,0.8444444444444443,0.8705882352941177
ionosphere,knn,0.8941176470588235,0.9382716049382717
ionosphere,knn,0.8409090909090909,0.8809523809523809
ionosphere,knn,0.8604651162790697,0.8636363636363636
ionosphere,knn,0.8888888888888888,0.8222222222222223
ionosphere,knn,0.8735632183908045,0.8641975308641974
ionosphere,knn,0.8735632183908045,0.8705882352941177
ionosphere,knn,0.8505747126436782,0.8604651162790697
ionosphere,knn,0.8837209302325582,0.8372093023255814
ionosphere,knn,0.9024390243902439,0.8837209302325582
ionosphere,knn,0.9156626506024096,0.8636363636363636
ionosphere,knn,0.8837209302325582,0.9230769230769231
ionosphere,knn,0.8314606741573034,0.8837209302325582
ionosphere,knn,0.9156626506024096,0.8539325842696629
ionosphere,knn,0.9047619047619047,0.8470588235294116
ionosphere,knn,0.891566265060241,0.8604651162790697
ionosphere,knn,0.8837209302325582,0.8604651162790697
ionosphere,knn,0.891566265060241,0.8222222222222223
ionosphere,knn,0.8837209302325582,0.8837209302325582
ionosphere,knn,0.9156626506024096,0.9156626506024096
ionosphere,knn,0.8571428571428571,0.8470588235294116
ionosphere,knn,0.8705882352941177,0.8351648351648352
ionosphere,knn,0.7916666666666666,0.8260869565217391
ionosphere,knn,0.9367088607594938,0.8351648351648352
ionosphere,knn,0.9268292682926829,0.8314606741573034
ionosphere,knn,0.8888888888888888,0.8235294117647057
ionosphere,knn,0.8539325842696629,0.8837209302325582
ionosphere,knn,0.8222222222222223,0.8735632183908045
ionosphere,knn,0.9047619047619047,0.8735632183908045
