dataset,model,size_10,size_15
sonar,mlp,0.7241379310344829,0.75
sonar,mlp,0.7017543859649122,0.6875
sonar,mlp,0.7419354838709677,0.7540983606557378
sonar,mlp,0.6984126984126984,0.8125
sonar,mlp,0.7540983606557377,0.689655172413793
sonar,mlp,0.6415094339622641,0.6551724137931034
sonar,mlp,0.8064516129032259,0.7868852459016393
sonar,mlp,0.7142857142857143,0.8000000000000002
sonar,mlp,0.7647058823529411,0.7536231884057971
sonar,mlp,0.7868852459016394,0.7076923076923076
sonar,mlp,0.7352941176470588,0.7999999999999999
sonar,mlp,0.7666666666666667,0.8333333333333334
sonar,mlp,0.7076923076923076,0.7777777777777778
sonar,mlp,0.7234042553191489,0.7536231884057972
sonar,mlp,0.7936507936507938,0.7096774193548386
sonar,mlp,0.7536231884057972,0.7666666666666667
sonar,mlp,0.7384615384615385,0.819672131147541
sonar,mlp,0.7241379310344829,0.7857142857142857
sonar,mlp,0.6666666666666666,0.6349206349206349
sonar,mlp,0.689655172413793,0.7241379310344827
sonar,mlp,0.7857142857142856,0.6428571428571429
sonar,mlp,0.7857142857142857,0.7037037037037037
sonar,mlp,0.689655172413793,0.7301587301587301
sonar,mlp,0.7719298245614035,0.7017543859649122
sonar,mlp,0.7384615384615385,0.8196721311475409
sonar,mlp,0.696969696969697,0.7142857142857142
sonar,mlp,0.6440677966101694,0.7666666666666667
sonar,mlp,0.7936507936507937,0.7457627118644068
sonar,mlp,0.6779661016949153,0.6666666666666667
sonar,mlp,0.8000000000000002,0.7857142857142856
sonar,knn,0.7333333333333333,0.761904761904762
sonar,knn,0.7999999999999999,0.6753246753246753
sonar,knn,0.7352941176470588,0.7428571428571429
sonar,knn,0.7692307692307692,0.6333333333333333
sonar,knn,0.7540983606557377,0.7692307692307692
sonar,knn,0.8064516129032258,0.835820895522388
sonar,knn,0.8214285714285715,0.7164179104477612
sonar,knn,0.7741935483870969,0.7941176470588235
sonar,knn,0.71875,0.7419354838709677
sonar,knn,0.7999999999999999,0.746268656716418
sonar,knn,0.8333333333333334,0.7142857142857144
sonar,knn,0.7428571428571429,0.746268656716418
sonar,knn,0.7,0.8181818181818182
