dataset,model,size_10,size_15
ionosphere,decision_tree,0.904109589041096,0.9090909090909091
ionosphere,decision_tree,0.8500000000000001,0.904109589041096
ionosphere,decision_tree,0.860759493670886,0.8045977011494253
ionosphere,decision_tree,0.891566265060241,0.8974358974358975
ionosphere,decision_tree,0.8205128205128205,0.8333333333333333
ionosphere,decision_tree,0.88,0.8767123287671234
ionosphere,decision_tree,0.8051948051948051,0.8055555555555555
ionosphere,decision_tree,0.88,0.8205128205128205
ionosphere,decision_tree,0.8461538461538461,0.8461538461538461
ionosphere,decision_tree,0.9,0.7906976744186046
ionosphere,decision_tree,0.7764705882352942,0.8
ionosphere,decision_tree,0.88,0.8918918918918918
ionosphere,decision_tree,0.8461538461538461,0.8571428571428572
ionosphere,decision_tree,0.860759493670886,0.9210526315789473
ionosphere,decision_tree,0.8641975308641974,0.7792207792207793
ionosphere,decision_tree,0.9473684210526315,0.8641975308641974
ionosphere,mlp,0.9135802469135803,0.8888888888888888
ionosphere,mlp,0.8604651162790697,0.8809523809523809
ionosphere,mlp,0.8705882352941177,0.8536585365853658
ionosphere,mlp,0.8888888888888888,0.8461538461538461
ionosphere,mlp,0.8275862068965517,0.925
ionosphere,mlp,0.8533333333333334,0.8860759493670887
ionosphere,mlp,0.8888888888888888,0.9135802469135803
ionosphere,mlp,0.9610389610389611,0.9113924050632912
ionosphere,mlp,0.935064935064935,0.8641975308641974
ionosphere,mlp,0.9382716049382717,0.9500000000000001
ionosphere,mlp,0.891566265060241,0.8780487804878049
ionosphere,mlp,0.8705882352941177,0.9047619047619047
ionosphere,mlp,0.8372093023255814,0.9
ionosphere,mlp,0.8674698795180723,0.9047619047619047
ionosphere,mlp,0.8444444444444443,0.891566265060241
ionosphere,mlp,0.9,0.891566265060241
ionosphere,mlp,0.875,0.9135802469135803
ionosphere,mlp,0.9047619047619047,0.9
ionosphere,mlp,0.8395061728395061,0.9487179487179489
ionosphere,mlp,0.891566265060241,0.8636363636363636
