dataset,model,score_optimized,score_not_optimized
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,0.9918256130790191,0.9918256130790191
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
ionosphere,random_forest,0.9066666666666667,0.9066666666666667
ionosphere,random_forest,0.9610389610389611,0.9487179487179489
ionosphere,random_forest,0.9210526315789473,0.9210526315789473
ionosphere,random_forest,0.9610389610389611,0.9743589743589743
ionosphere,random_forest,0.9090909090909091,0.9113924050632912
ionosphere,random_forest,0.860759493670886,0.9268292682926829
ionosphere,random_forest,0.9210526315789473,0.9620253164556963
ionosphere,random_forest,0.9230769230769231,0.8888888888888888
ionosphere,random_forest,0.9610389610389611,0.9610389610389611
ionosphere,random_forest,0.8,0.8
ionosphere,random_forest,0.9367088607594938,0.9367088607594938
ionosphere,random_forest,0.9268292682926829,0.9500000000000001
ionosphere,random_forest,0.9620253164556963,0.9382716049382717
ionosphere,random_forest,0.9268292682926829,0.9268292682926829
ionosphere,random_forest,0.9487179487179489,0.9487179487179489
ionosphere,random_forest,0.9135802469135803,0.9135802469135803
ionosphere,random_forest,0.9268292682926829,0.9367088607594938
ionosphere,random_forest,0.8831168831168831,0.8831168831168831
ionosphere,random_forest,0.9500000000000001,0.9382716049382717
ionosphere,random_forest,0.9610389610389611,0.9459459459459458
ionosphere,random_forest,0.9487179487179489,0.935064935064935
ionosphere,random_forest,0.9487179487179489,0.9620253164556963
ionosphere,random_forest,0.9090909090909091,0.9230769230769231
ionosphere,random_forest,0.8648648648648649,0.8918918918918918
ionosphere,random_forest,0.9210526315789473,0.9090909090909091
ionosphere,random_forest,0.9268292682926829,0.9268292682926829
ionosphere,random_forest,0.9473684210526315,0.935064935064935
ionosphere,random_forest,0.8461538461538461,0.8571428571428572
ionosphere,random_forest,0.9500000000000001,0.9367088607594938
ionosphere,random_forest,0.9500000000000001,0.9610389610389611
ionosphere,decision_tree,0.9166666666666667,0.8888888888888888
ionosphere,decision_tree,0.8571428571428572,0.88
ionosphere,decision_tree,0.7500000000000001,0.7500000000000001
ionosphere,decision_tree,0.8571428571428572,0.8461538461538461
ionosphere,decision_tree,0.8157894736842104,0.8051948051948051
ionosphere,decision_tree,0.904109589041096,0.8378378378378377
ionosphere,decision_tree,0.8831168831168831,0.9066666666666667
ionosphere,decision_tree,0.8421052631578947,0.8493150684931505
ionosphere,decision_tree,0.8974358974358975,0.9066666666666667
ionosphere,decision_tree,0.7837837837837838,0.868421052631579
ionosphere,decision_tree,0.8500000000000001,0.8571428571428572
ionosphere,decision_tree,0.88,0.860759493670886
ionosphere,decision_tree,0.8767123287671234,0.810126582278481
ionosphere,decision_tree,0.8648648648648649,0.8311688311688312
ionosphere,decision_tree,0.8311688311688312,0.8205128205128205
ionosphere,decision_tree,0.9066666666666667,0.9066666666666667
ionosphere,decision_tree,0.8311688311688312,0.8205128205128205
ionosphere,decision_tree,0.8378378378378377,0.8493150684931505
ionosphere,decision_tree,0.7951807228915663,0.8048780487804879
ionosphere,decision_tree,0.8395061728395061,0.8571428571428572
ionosphere,decision_tree,0.7605633802816901,0.7945205479452055
ionosphere,decision_tree,0.8311688311688312,0.8311688311688312
ionosphere,decision_tree,0.8311688311688312,0.8266666666666665
ionosphere,decision_tree,0.8947368421052632,0.9473684210526315
ionosphere,decision_tree,0.8831168831168831,0.935064935064935
ionosphere,decision_tree,0.8860759493670887,0.8433734939759038
ionosphere,decision_tree,0.868421052631579,0.8055555555555555
ionosphere,decision_tree,0.8169014084507042,0.7887323943661972
ionosphere,decision_tree,0.8780487804878049,0.8780487804878049
ionosphere,decision_tree,0.8205128205128205,0.8918918918918918
ionosphere,mlp,0.9156626506024096,0.8941176470588235
ionosphere,mlp,0.9500000000000001,0.9500000000000001
ionosphere,mlp,0.9367088607594938,0.9113924050632912
ionosphere,mlp,0.891566265060241,0.9135802469135803
ionosphere,mlp,0.9156626506024096,0.9156626506024096
ionosphere,mlp,0.8860759493670887,0.8888888888888888
ionosphere,mlp,0.9870129870129869,0.9743589743589743
ionosphere,mlp,0.9024390243902439,0.891566265060241
ionosphere,mlp,0.9135802469135803,0.9382716049382717
ionosphere,mlp,0.9024390243902439,0.9268292682926829
ionosphere,mlp,0.9487179487179489,0.9367088607594938
ionosphere,mlp,0.8505747126436782,0.8505747126436782
ionosphere,mlp,0.9135802469135803,0.925
ionosphere,mlp,0.8674698795180723,0.891566265060241
ionosphere,mlp,0.8351648351648352,0.8351648351648352
ionosphere,mlp,0.8571428571428572,0.8641975308641974
ionosphere,mlp,0.9230769230769231,0.9473684210526315
ionosphere,mlp,0.8674698795180723,0.8705882352941177
ionosphere,mlp,0.9268292682926829,0.9156626506024096
ionosphere,mlp,0.9135802469135803,0.925
ionosphere,mlp,0.9135802469135803,0.925
ionosphere,mlp,0.9500000000000001,0.9500000000000001
ionosphere,mlp,0.925,0.9156626506024096
ionosphere,mlp,0.9210526315789473,0.935064935064935
ionosphere,mlp,0.9268292682926829,0.9382716049382717
ionosphere,mlp,0.9135802469135803,0.9268292682926829
ionosphere,mlp,0.9382716049382717,0.9500000000000001
ionosphere,mlp,0.9,0.9024390243902439
ionosphere,mlp,0.8837209302325582,0.8735632183908045
ionosphere,mlp,0.925,0.9268292682926829
ionosphere,knn,0.8636363636363636,0.8351648351648352
ionosphere,knn,0.8444444444444443,0.8351648351648352
ionosphere,knn,0.8505747126436782,0.8409090909090909
ionosphere,knn,0.8636363636363636,0.8444444444444443
ionosphere,knn,0.8539325842696629,0.8636363636363636
ionosphere,knn,0.8222222222222223,0.8314606741573034
ionosphere,knn,0.8222222222222223,0.8222222222222223
ionosphere,knn,0.8172043010752689,0.8172043010752689
ionosphere,knn,0.8172043010752689,0.8444444444444443
ionosphere,knn,0.8837209302325582,0.8636363636363636
ionosphere,knn,0.7912087912087911,0.7912087912087911
ionosphere,knn,0.8351648351648352,0.8444444444444443
ionosphere,knn,0.7789473684210527,0.7708333333333335
ionosphere,knn,0.8085106382978724,0.8172043010752689
ionosphere,knn,0.8444444444444443,0.8351648351648352
ionosphere,knn,0.8314606741573034,0.8505747126436782
ionosphere,knn,0.7956989247311828,0.8131868131868132
ionosphere,knn,0.8351648351648352,0.8260869565217391
ionosphere,knn,0.8735632183908045,0.8636363636363636
ionosphere,knn,0.7916666666666666,0.8085106382978724
ionosphere,knn,0.8539325842696629,0.8539325842696629
ionosphere,knn,0.8314606741573034,0.8409090909090909
ionosphere,knn,0.8260869565217391,0.8172043010752689
ionosphere,knn,0.8260869565217391,0.8172043010752689
ionosphere,knn,0.8444444444444443,0.8539325842696629
ionosphere,knn,0.8222222222222223,0.7872340425531915
ionosphere,knn,0.8085106382978724,0.8172043010752689
ionosphere,knn,0.8444444444444443,0.8351648351648352
ionosphere,knn,0.8409090909090909,0.8604651162790697
ionosphere,knn,0.8260869565217391,0.8260869565217391
megawatt1,random_forest,0.5263157894736842,0.5882352941176471
megawatt1,random_forest,0.47058823529411764,0.5555555555555556
megawatt1,random_forest,0.6,0.7000000000000001
megawatt1,random_forest,0.9,0.8571428571428571
megawatt1,random_forest,0.6250000000000001,0.5882352941176471
megawatt1,random_forest,0.7272727272727274,0.7272727272727274
megawatt1,random_forest,0.3333333333333333,0.3333333333333333
megawatt1,random_forest,0.6666666666666667,0.6250000000000001
megawatt1,random_forest,0.8571428571428571,0.8421052631578948
