dataset,model,score_optimized,score_not_optimized
diabetes,mlp,0.6289308176100629,0.6832298136645963
diabetes,mlp,0.6415094339622641,0.6666666666666667
diabetes,mlp,0.6590909090909091,0.6705202312138728
diabetes,mlp,0.7167630057803468,0.6987951807228916
diabetes,mlp,0.6451612903225807,0.6582278481012659
diabetes,mlp,0.6878980891719745,0.7228915662650603
diabetes,mlp,0.6428571428571429,0.6623376623376622
diabetes,mlp,0.6242038216560509,0.6025641025641025
diabetes,mlp,0.5562913907284768,0.6037735849056604
diabetes,mlp,0.5734265734265734,0.6753246753246753
diabetes,mlp,0.631578947368421,0.625
diabetes,mlp,0.6463414634146342,0.6583850931677019
diabetes,mlp,0.6181818181818182,0.6
diabetes,mlp,0.6103896103896105,0.6193548387096774
diabetes,mlp,0.641025641025641,0.6538461538461539
diabetes,mlp,0.6496815286624203,0.6419753086419753
diabetes,mlp,0.6790123456790124,0.6976744186046511
diabetes,mlp,0.6580645161290323,0.6503067484662576
diabetes,mlp,0.5802469135802469,0.567741935483871
diabetes,mlp,0.6242038216560509,0.6585365853658536
diabetes,mlp,0.5945945945945946,0.6624203821656051
diabetes,mlp,0.6459627329192547,0.646341463414634
diabetes,mlp,0.6506024096385542,0.6049382716049384
diabetes,mlp,0.625,0.6296296296296297
diabetes,mlp,0.6335403726708074,0.5859872611464968
diabetes,mlp,0.6459627329192547,0.6982248520710058
diabetes,mlp,0.6172839506172839,0.6206896551724138
diabetes,mlp,0.524390243902439,0.524390243902439
diabetes,mlp,0.5633802816901409,0.6303030303030304
diabetes,knn,0.6459627329192547,0.6623376623376622
diabetes,knn,0.6127167630057804,0.6815642458100558
diabetes,knn,0.6341463414634146,0.6707317073170732
diabetes,knn,0.6666666666666667,0.6792452830188679
diabetes,knn,0.7006369426751592,0.6753246753246753
diabetes,knn,0.7085714285714285,0.6896551724137931
diabetes,knn,0.6235294117647059,0.6627906976744186
diabetes,knn,0.591715976331361,0.6227544910179641
diabetes,knn,0.6857142857142857,0.6941176470588235
diabetes,knn,0.6785714285714285,0.6459627329192547
diabetes,knn,0.6666666666666666,0.6125
diabetes,knn,0.6369426751592356,0.6447368421052632
diabetes,knn,0.5100671140939598,0.5844155844155844
diabetes,knn,0.6369426751592356,0.5945945945945946
diabetes,knn,0.6745562130177515,0.6506024096385542
diabetes,knn,0.6961325966850829,0.6815642458100559
diabetes,knn,0.6931818181818182,0.6627906976744186
diabetes,knn,0.6424242424242423,0.6706586826347306
diabetes,knn,0.6368715083798883,0.6703296703296703
diabetes,knn,0.6511627906976745,0.6163522012578617
diabetes,knn,0.6428571428571429,0.6424242424242423
diabetes,knn,0.7317073170731706,0.718562874251497
diabetes,knn,0.6274509803921569,0.6133333333333333
diabetes,knn,0.5842696629213483,0.6477272727272727
diabetes,knn,0.6242038216560509,0.5935483870967742
diabetes,knn,0.6296296296296297,0.6748466257668712
diabetes,knn,0.7228915662650603,0.6993865030674846
diabetes,knn,0.6086956521739131,0.6289308176100629
diabetes,knn,0.6341463414634146,0.6586826347305389
diabetes,knn,0.6514285714285715,0.6309523809523809
hill_valley,random_forest,0.9972451790633609,0.9833333333333333
hill_valley,random_forest,0.989010989010989,0.9726775956284153
hill_valley,random_forest,0.9917355371900827,0.9863013698630136
hill_valley,random_forest,0.9863013698630136,0.9917355371900827
hill_valley,random_forest,0.9834254143646408,0.989010989010989
hill_valley,random_forest,0.9917808219178081,0.9863013698630136
hill_valley,random_forest,0.9863013698630136,0.9863013698630136
hill_valley,random_forest,0.9917808219178081,0.989010989010989
hill_valley,random_forest,0.9863760217983651,0.967032967032967
hill_valley,random_forest,0.994535519125683,0.9862258953168045
hill_valley,random_forest,0.9726775956284153,0.9700272479564033
hill_valley,random_forest,0.9782608695652174,0.9723756906077348
hill_valley,random_forest,0.9752066115702479,0.958904109589041
hill_valley,random_forest,0.9863760217983651,0.9809264305177112
hill_valley,random_forest,0.9945054945054945,0.9834254143646408
hill_valley,random_forest,0.9862258953168045,0.9808219178082191
hill_valley,random_forest,0.9753424657534248,0.9807162534435261
hill_valley,random_forest,0.9836065573770493,0.9808219178082191
hill_valley,random_forest,0.9889502762430938,0.9862258953168045
hill_valley,random_forest,0.9916897506925207,0.9775280898876404
hill_valley,random_forest,0.9808219178082191,0.9696969696969698
hill_valley,random_forest,0.994535519125683,0.9862258953168045
hill_valley,random_forest,0.978021978021978,0.9662921348314606
hill_valley,random_forest,0.9890710382513661,0.9890710382513661
hill_valley,random_forest,0.989010989010989,0.9862258953168045
hill_valley,random_forest,0.967032967032967,0.978021978021978
hill_valley,random_forest,0.9972451790633609,0.9917355371900827
hill_valley,random_forest,0.9863013698630136,0.96986301369863
hill_valley,random_forest,0.9916897506925207,0.9916897506925207
hill_valley,random_forest,1.0,0.9972602739726028
hill_valley,decision_tree,0.824468085106383,0.8378378378378379
hill_valley,decision_tree,0.9164420485175203,0.8418230563002682
hill_valley,decision_tree,0.8232044198895027,0.8516483516483516
hill_valley,decision_tree,0.8392370572207085,0.8633879781420766
hill_valley,decision_tree,0.8351648351648353,0.8780487804878049
hill_valley,decision_tree,0.873015873015873,0.8524590163934426
hill_valley,decision_tree,0.8429752066115701,0.8347338935574229
hill_valley,decision_tree,0.9421487603305785,0.8668555240793201
hill_valley,decision_tree,0.832876712328767,0.8297872340425533
hill_valley,decision_tree,0.8426666666666667,0.8563829787234043
hill_valley,decision_tree,0.8179271708683473,0.8743169398907105
hill_valley,decision_tree,0.8192090395480226,0.8603351955307262
hill_valley,decision_tree,0.840108401084011,0.8648648648648649
hill_valley,decision_tree,0.8406593406593407,0.8296703296703297
hill_valley,decision_tree,0.8611111111111112,0.8888888888888888
hill_valley,decision_tree,0.8444444444444446,0.8310249307479224
hill_valley,decision_tree,0.8465608465608465,0.8633879781420766
hill_valley,decision_tree,0.8232044198895027,0.8555858310626703
hill_valley,decision_tree,0.8291316526610645,0.8426966292134831
hill_valley,decision_tree,0.8483146067415731,0.8423913043478262
hill_valley,decision_tree,0.8555858310626703,0.8579088471849865
hill_valley,decision_tree,0.8238636363636364,0.8077994428969358
hill_valley,decision_tree,0.8815426997245179,0.8154269972451791
hill_valley,decision_tree,0.8356545961002785,0.8594594594594595
hill_valley,decision_tree,0.8945868945868946,0.8283378746594006
hill_valley,decision_tree,0.8392370572207085,0.8522727272727273
hill_valley,decision_tree,0.8423913043478262,0.8483146067415731
hill_valley,decision_tree,0.8432432432432433,0.807909604519774
hill_valley,decision_tree,0.8490028490028488,0.8033240997229917
hill_valley,decision_tree,0.8448275862068965,0.838150289017341
hill_valley,mlp,0.8035714285714286,0.8804347826086956
hill_valley,mlp,0.7643312101910829,0.8641304347826088
hill_valley,mlp,0.9025069637883009,0.8727272727272727
hill_valley,mlp,0.8115942028985508,0.8563380281690139
hill_valley,mlp,0.8170426065162908,0.8418230563002682
hill_valley,mlp,0.8119402985074626,0.8821917808219178
hill_valley,mlp,0.7643312101910829,0.8654353562005277
hill_valley,mlp,0.873015873015873,0.881720430107527
hill_valley,mlp,0.8228882833787466,0.8586666666666667
hill_valley,mlp,0.8370786516853932,0.8595041322314049
hill_valley,mlp,0.8705234159779615,0.8810810810810811
hill_valley,mlp,0.8295165394402035,0.8563685636856369
hill_valley,mlp,0.8295165394402035,0.858695652173913
hill_valley,mlp,0.834355828220859,0.8986301369863015
hill_valley,mlp,0.8535353535353535,0.9018567639257294
